,Word,Frequency,CD,Lemma Frequency,Token ID,Sentence ID,Lemma,Meaning,Lemma Count,Valid,POS
1502,vermaken,2.6074550232146687,2.558708570533166,3.037824750588342,1628,144,vermaken,to entertain,3,True,V
1503,liep,3.4942937686653326,3.3346547668832414,4.391323326974091,1636,145,lopen,to run,8,True,V
1504,was,5.36530262140015,3.905957699092427,6.276873384593224,1637,145,zijn,to be,97,True,V
1505,voorspelde,1.9637878273455553,1.9444826721501687,2.8808135922807914,1648,146,voorspellen,to predict,2,True,V
1506,lachte,2.733999286538387,2.6532125137753435,3.8555191556678,1649,146,lachen,to laugh,4,True,V
1507,kreeg,3.8710472613054994,3.6121478383264867,4.819912271587856,1652,147,krijgen,to get,20,True,V
1508,ontdekt,3.367355921026019,3.2340108175871793,3.680516809381255,1659,147,ontdekken,to discover,2,True,V
1509,had,4.964273776366518,3.9011857801371503,5.9270797094445795,1660,147,hebben,to have,64,True,V
1510,gestemd,2.4712917110589387,2.3521825181113627,3.168202746842631,1671,148,stemmen,to vote,1,True,V
1511,heeft,5.203919074994566,3.9048777669634047,5.927074058772405,1672,148,hebben,to have,64,True,V
1512,was,5.36530262140015,3.905957699092427,6.276873384593224,1673,148,zijn,to be,97,True,V
1513,hield,3.8190171986890595,3.5518158223510157,5.027459696646817,1679,149,houden,to keep,8,True,V
1514,bezoeken,3.059941888061955,2.9474337218870508,3.6917885244026984,1683,149,bezoeken,to visite,3,True,V
1515,was,5.36530262140015,3.905957699092427,6.276873384593224,1684,149,zijn,to be,97,True,V
1516,verzekerd,2.677606952720493,2.57978359661681,3.1997551772534747,1692,150,verzekeren,to assure,1,True,V
1517,was,5.36530262140015,3.905957699092427,6.276873384593224,1693,150,zijn,to be,97,True,V
1518,kwamen,3.646599751720373,3.455758203104137,5.411375557117006,1694,150,komen,to come,12,True,V
1519,zijn,5.5421354833834,3.9064427938170323,6.291130766960268,1703,151,zijn,to be,97,True,V
1520,bezoekt,2.250420002308894,2.230448921378274,3.2605483726369795,1704,151,bezoeken,to visite,3,True,V
1521,had,4.964273776366518,3.9011857801371503,5.9270797094445795,1710,152,hebben,to have,64,True,V
1522,gegeten,3.2909245593827543,3.1705550585212086,4.246153765786101,1717,152,eten,to eat,3,True,V
1523,bracht,3.4255342204982635,3.2844307338445193,4.522874402313803,1728,153,brengen,to bring,4,True,V
1524,had,4.964273776366518,3.9011857801371503,5.9270797094445795,1729,153,hebben,to have,64,True,V
1525,is,5.976610385885594,3.906712056942964,6.276831601248094,1739,154,zijn,to be,97,True,V
1526,ligt,4.083681747274301,3.7324741772811936,4.512364159396531,1740,154,liggen,to lie,5,True,V
1527,zijn,5.5421354833834,3.9064427938170323,6.291130766960268,1750,155,zijn,to be,97,True,V
1528,krijg,4.2139690824147,3.7786576319473553,4.820162036109493,1753,155,krijgen,"to get, receive",20,True,V
1529,betaalde,2.884795363948981,2.7745169657285498,4.225567713439471,1759,156,betalen,to pay,3,True,V
1530,had,4.964273776366518,3.9011857801371503,5.9270797094445795,1767,156,hebben,to have,64,True,V
1531,gehouden,3.383994789441733,3.2671717284030137,5.027443388945077,1768,156,houden,"to keep, hold",8,True,V
1532,inspireert,1.8976270912904414,1.8573324964312685,2.739572344450092,1775,157,inspireren,to inspire,1,True,V
1533,zit,4.666030998292724,3.8845688149183335,4.98949431277271,1776,157,zitten,to sit,5,True,V
1534,insloeg,1.4313637641589874,1.3979400086720377,2.5921767573958667,1788,158,insloeg,to shatter,1,True,V
1535,zorgde,2.833147111912785,2.7737864449811935,4.296533565928987,1789,158,zoorgen voor,to take care of,7,True,V
1536,voor,5.467489712757465,3.9064427938170323,5.467489712757465,1790,158,zoorgen voor,to take care of,7,True,V
1537,beet,2.9079485216122722,2.791690649020118,3.4542348957482654,1794,159,bijten,to bite,1,True,V
1538,was,5.36530262140015,3.905957699092427,6.276873384593224,1803,159,zijn,to be,97,True,V
1539,deed,4.276277936904663,3.7902147702439795,5.469477388060995,1810,160,doen,to do,1,True,V
1540,had,4.964273776366518,3.9011857801371503,5.9270797094445795,1811,160,hebben,to have,64,True,V
1541,alarmeren,1.6334684555795864,1.6020599913279623,2.113943352306837,1821,161,alarmeren,to alarm,2,True,V
1542,zijn,5.5421354833834,3.9064427938170323,6.291130766960268,1822,161,zijn,to be,97,True,V
1543,kost,3.5460488664017342,3.381656482585787,3.7822575736633017,1831,162,kost,to cost,1,True,V
1544,lijkt,4.273672461942605,3.812646016233119,4.43448906315119,1832,162,lijken,to seem,2,True,V
1545,vallen,3.898396045930009,3.62490060220449,4.360706989248737,1837,162,vallen,to fall,6,True,V
1546,had,4.964273776366518,3.9011857801371503,5.9270797094445795,1845,163,hebben,to have,64,True,V
1547,was,5.36530262140015,3.905957699092427,6.276873384593224,1846,163,zijn,to be,97,True,V
1548,troosten,2.298853076409707,2.250420002308894,2.507855871695831,1852,165,troosten,to comfort,1,True,V
1549,huilt,2.734799829588847,2.6424645202421213,3.668572269184558,1857,165,huilen,"to cry, weep",5,True,V
1550,afkomen,2.155336037465062,2.146128035678238,2.5428254269591797,1865,166,afkomen,to descend from,1,True,V
1551,zijn,5.5421354833834,3.9064427938170323,6.291130766960268,1866,166,zijn,to be,97,True,V
1552,keek,3.5110808455391185,3.337459261290656,4.885265076497104,1875,167,kijken,to look,5,True,V
1553,bukte,1.3617278360175928,1.255272505103306,2.4638929889859074,1876,167,bukken,"to duck, bend down",1,True,V
1554,viel,3.5746099413401873,3.413467412985825,4.3163687904089905,1878,167,vallen,to fall,6,True,V
1555,struikelde,2.0170333392987803,1.9731278535996986,2.537819095073274,1880,168,struikelen,to trip,2,True,V
1556,liet,3.8692904042093983,3.6080979463252794,5.151333070046563,1888,168,laten,to let,3,True,V
1557,vallen,3.898396045930009,3.62490060220449,4.360706989248737,1889,168,vallen,to fall,6,True,V
1558,haat,3.8206611346435957,3.5200903281128424,3.935809453809933,1891,169,haten,to hate,2,True,V
1559,overtuigde,2.1072099696478683,2.100370545117563,3.444513206334043,1897,169,overtuigen,to convince,2,True,V
1560,worden,4.67019945161226,3.887504774235378,5.118463139775366,1900,169,worden,to become,31,True,V
1561,wil,5.240177193110925,3.904336792202495,5.46542449412823,1904,170,willen,to want,10,True,V
1562,luisteren,3.638189640190837,3.4671639659690903,4.492955847375417,1905,170,luisteren,to listen,1,True,V
1563,moet,5.234977654779136,3.9054720619247045,5.437333503328265,1906,170,moeten,to be necessary,9,True,V
1564,zocht,3.296445794206396,3.1950689964685903,4.434265430560305,1918,171,zoeken,to search,3,True,V
1565,plaatste,2.0863598306747484,2.0293837776852097,3.188365926063148,1919,171,plaatsen,to place,1,True,V
1566,had,4.964273776366518,3.9011857801371503,5.9270797094445795,1931,172,hebben,to have,64,True,V
